Figure_2A | d_inf (dimensionless),Figure_2A | V (millivolt)
0.00215029,-51.05
0.00215315,-51.04
0.00215602,-51.03
0.00215889,-51.02
0.00216176,-51.01
0.00216464,-51
0.00216752,-50.99
0.00217041,-50.98
0.0021733,-50.97
0.00217619,-50.96
0.00217909,-50.95
0.00218199,-50.94
0.0021849,-50.93
0.0021878,-50.92
0.00219072,-50.91
0.00219363,-50.9
0.00219655,-50.89
0.00219948,-50.88
0.00220241,-50.87
0.00220534,-50.86
0.00220827,-50.85
0.00221121,-50.84
0.00221416,-50.83
0.00221711,-50.82
0.00222006,-50.81
0.00222301,-50.8
0.00222597,-50.79
0.00222893,-50.78
0.0022319,-50.77
0.00223487,-50.76
0.00223785,-50.75
0.00224083,-50.74
0.00224381,-50.73
0.0022468,-50.72
0.00224979,-50.71
0.00225278,-50.7
0.00225578,-50.69
0.00225879,-50.68
0.00226179,-50.67
0.0022648,-50.66
0.00226782,-50.65
0.00227084,-50.64
0.00227386,-50.63
0.00227689,-50.62
0.00227992,-50.61
0.00228295,-50.6
0.00228599,-50.59
0.00228903,-50.58
0.00229208,-50.57
0.00229513,-50.56
0.00229819,-50.55
0.00230125,-50.54
0.00230431,-50.53
0.00230738,-50.52
0.00231045,-50.51
0.00231353,-50.5
0.0023166,-50.49
0.00231969,-50.48
0.00232278,-50.47
0.00232587,-50.46
0.00232896,-50.45
0.00233206,-50.44
0.00233517,-50.43
0.00233828,-50.42
0.00234139,-50.41
0.00234451,-50.4
0.00234763,-50.39
0.00235075,-50.38
0.00235388,-50.37
0.00235701,-50.36
0.00236015,-50.35
0.00236329,-50.34
0.00236644,-50.33
0.00236959,-50.32
0.00237274,-50.31
0.0023759,-50.3
0.00237906,-50.29
0.00238223,-50.28
0.0023854,-50.27
0.00238858,-50.26
0.00239175,-50.25
0.00239494,-50.24
0.00239813,-50.23
0.00240132,-50.22
0.00240451,-50.21
0.00240771,-50.2
0.00241092,-50.19
0.00241413,-50.18
0.00241734,-50.17
0.00242056,-50.16
0.00242378,-50.15
0.00242701,-50.14
0.00243024,-50.13
0.00243347,-50.12
0.00243671,-50.11
0.00243995,-50.1
0.0024432,-50.09
0.00244645,-50.08
0.00244971,-50.07
0.00245297,-50.06
0.00245623,-50.05
0.0024595,-50.04
0.00246278,-50.03
0.00246605,-50.02
0.00246934,-50.01
0.00247262,-50
0.00247591,-49.99
0.00247921,-49.98
0.00248251,-49.97
0.00248581,-49.96
0.00248912,-49.95
0.00249243,-49.94
0.00249575,-49.93
0.00249907,-49.92
0.0025024,-49.91
0.00250573,-49.9
0.00250906,-49.89
0.0025124,-49.88
0.00251575,-49.87
0.00251909,-49.86
0.00252245,-49.85
0.0025258,-49.84
0.00252917,-49.83
0.00253253,-49.82
0.0025359,-49.81
0.00253928,-49.8
0.00254266,-49.79
0.00254604,-49.78
0.00254943,-49.77
0.00255282,-49.76
0.00255622,-49.75
0.00255962,-49.74
0.00256303,-49.73
0.00256644,-49.72
0.00256985,-49.71
0.00257327,-49.7
0.0025767,-49.69
0.00258013,-49.68
0.00258356,-49.67
0.002587,-49.66
0.00259044,-49.65
0.00259389,-49.64
0.00259734,-49.63
0.0026008,-49.62
0.00260426,-49.61
0.00260772,-49.6
0.00261119,-49.59
0.00261467,-49.58
0.00261815,-49.57
0.00262163,-49.56
0.00262512,-49.55
0.00262861,-49.54
0.00263211,-49.53
0.00263561,-49.52
0.00263912,-49.51
0.00264263,-49.5
0.00264615,-49.49
0.00264967,-49.48
0.0026532,-49.47
0.00265673,-49.46
0.00266026,-49.45
0.0026638,-49.44
0.00266735,-49.43
0.0026709,-49.42
0.00267445,-49.41
0.00267801,-49.4
0.00268157,-49.39
0.00268514,-49.38
0.00268871,-49.37
0.00269229,-49.36
0.00269587,-49.35
0.00269946,-49.34
0.00270305,-49.33
0.00270665,-49.32
0.00271025,-49.31
0.00271386,-49.3
0.00271747,-49.29
0.00272108,-49.28
0.00272471,-49.27
0.00272833,-49.26
0.00273196,-49.25
0.0027356,-49.24
0.00273924,-49.23
0.00274288,-49.22
0.00274653,-49.21
0.00275018,-49.2
0.00275384,-49.19
0.00275751,-49.18
0.00276118,-49.17
0.00276485,-49.16
0.00276853,-49.15
0.00277221,-49.14
0.0027759,-49.13
0.00277959,-49.12
0.00278329,-49.11
0.002787,-49.1
0.0027907,-49.09
0.00279442,-49.08
0.00279814,-49.07
0.00280186,-49.06
0.00280559,-49.05
0.00280932,-49.04
0.00281306,-49.03
0.0028168,-49.02
0.00282055,-49.01
0.0028243,-49
0.00282806,-48.99
0.00283182,-48.98
0.00283559,-48.97
0.00283936,-48.96
0.00284314,-48.95
0.00284692,-48.94
0.00285071,-48.93
0.0028545,-48.92
0.0028583,-48.91
0.0028621,-48.9
0.00286591,-48.89
0.00286972,-48.88
0.00287354,-48.87
0.00287736,-48.86
0.00288119,-48.85
